time,distance(meters),num_sats,flags
19691231_191609,100.00, 9, 1
19691231_191609,100.00, 9, 1
19691231_191609,100.00, 9, 1
19691231_191609,100.00, 9, 1
19691231_191609,100.00, 9, 1
19691231_191609,100.00, 9, 1
19691231_191609,100.00, 9, 1
19691231_191609,100.00, 9, 1
19691231_191609,100.00, 9, 1
19691231_191609,100.00, 9, 1
19691231_191609,100.00, 9, 1
19691231_191609,100.00, 9, 1
19691231_191609,100.00, 9, 1
19691231_191609,100.00, 9, 1
19691231_191609,100.00, 9, 1
19691231_191609,100.00, 9, 1
19691231_191609,100.00, 9, 1
19691231_191609,100.00, 9, 1
19691231_191609,100.00, 9, 1
19691231_191609,100.00, 9, 1
19691231_191609,100.00, 9, 1
