time,speed(m/s),num_sats
19691231_191610,     0, 9
19691231_191610,     0, 9
19691231_191610,     0, 9
19691231_191610,     0, 9
19691231_191610,     0, 9
19691231_191610,     0, 9
19691231_191610,     0, 9
19691231_191610,     0, 9
19691231_191610,     0, 9
19691231_191610,     0, 9
19691231_191610,     0, 9
19691231_191610,     0, 9
19691231_191610,     0, 9
19691231_191610,     0, 9
19691231_191610,     0, 9
